year;month;day
1985;1;1
1985;1;7
1985;5;1
1985;5;9
1985;10;7
1985;11;7
1986;1;1
1986;1;7
1986;5;1
1986;5;9
1986;10;7
1986;11;7
1987;1;1
1987;1;7
1987;5;1
1987;10;7
1988;1;1
1988;1;7
1988;3;8
1988;5;9
1988;10;7
1988;11;7
1989;3;8
1989;5;1
1989;5;9
1989;11;7
1990;1;1
1990;3;8
1990;5;1
1990;5;9
1990;11;7
1991;1;1
1991;1;7
1991;3;8
1991;5;1
1991;5;9
1991;10;7
1991;11;7
1992;1;1
1992;1;7
1992;5;1
1993;1;1
1993;1;7
1993;3;8
1994;1;7
1994;3;8
1994;5;2
1994;5;9
1994;11;7
1994;12;12
1995;1;2
1995;3;8
1995;5;1
1995;5;2
1995;5;9
1995;11;7
1995;12;12
1996;1;1
1996;1;2
1996;1;8
1996;3;8
1996;5;1
1996;5;2
1996;5;9
1996;11;7
1996;12;12
1997;1;1
1997;1;2
1997;1;7
1997;3;10
1997;5;1
1997;5;2
1997;5;9
1997;6;12
1997;11;7
1997;12;12
1998;1;1
1998;1;2
1998;1;7
1998;3;9
1998;5;1
1998;5;4
1998;5;11
1998;6;12
1998;11;9
1998;12;14
1999;1;1
1999;1;4
1999;1;7
1999;3;8
1999;5;3
1999;5;4
1999;5;10
1999;6;14
1999;11;8
1999;12;13
2000;1;7
2000;3;8
2000;5;1
2000;5;2
2000;5;9
2000;6;12
2000;11;7
2000;12;12
2001;1;1
2001;1;2
2001;1;8
2001;3;8
2001;5;1
2001;5;2
2001;5;9
2001;6;12
2001;11;7
2001;12;12
2002;1;1
2002;1;2
2002;1;7
2002;2;25
2002;3;8
2002;5;1
2002;5;2
2002;5;3
2002;5;9
2002;5;10
2002;6;12
2002;11;7
2002;11;8
2002;12;12
2002;12;13
2003;1;1
2003;1;2
2003;1;3
2003;1;6
2003;1;7
2003;2;24
2003;3;10
2003;5;1
2003;5;2
2003;5;9
2003;6;12
2003;6;13
2003;11;7
2003;12;12
2004;1;1
2004;1;2
2004;1;7
2004;2;23
2004;3;8
2004;5;3
2004;5;4
2004;5;10
2004;6;14
2004;11;8
2004;12;13
2005;1;3
2005;1;4
2005;1;5
2005;1;6
2005;1;7
2005;1;10
2005;2;23
2005;3;7
2005;3;8
2005;5;2
2005;5;9
2005;6;13
2005;11;4
2005;12;12
2006;1;2
2006;1;3
2006;1;4
2006;1;5
2006;1;6
2006;1;9
2006;2;23
2006;2;24
2006;3;8
2006;5;1
2006;5;8
2006;5;9
2006;6;12
2006;11;6
2007;1;1
2007;1;2
2007;1;3
2007;1;4
2007;1;5
2007;1;8
2007;2;23
2007;3;8
2007;5;1
2007;5;9
2007;6;11
2007;6;12
2007;11;5
2007;12;31
2008;1;1
2008;1;2
2008;1;3
2008;1;4
2008;1;7
2008;1;8
2008;2;25
2008;3;10
2008;5;1
2008;5;2
2008;5;9
2008;6;12
2008;6;13
2008;11;3
2008;11;4
2009;1;1
2009;1;2
2009;1;5
2009;1;6
2009;1;7
2009;1;8
2009;1;9
2009;2;23
2009;3;9
2009;5;1
2009;5;11
2009;6;12
2009;11;4
2010;1;1
2010;1;4
2010;1;5
2010;1;6
2010;1;7
2010;1;8
2010;2;22
2010;2;23
2010;3;8
2010;5;3
2010;5;10
2010;6;14
2010;11;4
2010;11;5
2011;1;3
2011;1;4
2011;1;5
2011;1;6
2011;1;7
2011;1;10
2011;2;23
2011;3;7
2011;3;8
2011;5;2
2011;5;9
2011;6;13
2011;11;4
2012;1;2
2012;1;3
2012;1;4
2012;1;5
2012;1;6
2012;1;9
2012;2;23
2012;3;8
2012;3;9
2012;5;1
2012;5;7
2012;5;8
2012;5;9
2012;6;11
2012;6;12
2012;11;5
2013;1;1
2013;1;2
2013;1;3
2013;1;4
2013;1;7
2013;1;8
2013;3;8
2013;5;1
2013;5;2
2013;5;3
2013;5;9
2013;5;10
2013;6;12
2013;11;4
2014;1;1
2014;1;2
2014;1;3
2014;1;6
2014;1;7
2014;1;8
2014;3;10
2014;5;1
2014;5;2
2014;5;9
2014;6;12
2014;6;13
2014;11;3
2014;11;4
2015;1;1
2015;1;2
2015;1;5
2015;1;6
2015;1;7
2015;1;8
2015;1;9
2015;2;23
2015;3;9
2015;5;1
2015;5;4
2015;5;11
2015;6;12
2015;11;4
2016;1;1
2016;1;4
2016;1;5
2016;1;6
2016;1;7
2016;1;8
2016;2;22
2016;2;23
2016;3;7
2016;3;8
2016;5;2
2016;5;3
2016;5;9
2016;6;13
2016;11;4
